original_address,lat,lon,formatted,name,housenumber,street,postcode,district,suburb,city,county,state,confidence_city_level,state_code,country,confidence_street_level,country_code,confidence,attribution,attribution_license,attribution_url
Le Flow - Centre Eurorégional des Cultures Urbaines,47.84146,-1.794739,"Rue le Deron Centre, 35480 St.-Malo-de-Phily, France",,,Rue le Deron Centre,35480,Saint-Malo-de-Phily,,St.-Malo-de-Phily,Ille-et-Vilaine,Bretagne,0.1171875,BRE,France,0.094921875,fr,0.41294117647058826,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Palais Rameau,50.63429815,3.049949637926539,"Palais Rameau, Rue Patou, 59800 Lille, France",Palais Rameau,,Rue Patou,59800,Lille,Lille-Centre,Lille,Nord,Hauts-de-France,,HDF,France,,fr,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Le Grand Bleu,43.4012506,3.6967902,"Le Grand Bleu, Quai du Général Durand, 34200 Sète, France",Le Grand Bleu,,Quai du Général Durand,34200,,,Sète,Hérault,Occitanie,,OCC,France,,fr,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Grand Place,-21.0414474,55.412164,"97419 Grand-Place (La Possession), France",Grand-Place,,,97419,,,La Possession,,La Réunion,1,RE,France,,fr,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Le Nouveau Siècle,48.8973573,2.3291166,"Le Nouveau Siècle, Avenue de Saint-Ouen, 75018 Paris, France",Le Nouveau Siècle,,Avenue de Saint-Ouen,75018,Paris,Paris 18e Arrondissement,Paris,,Île-de-France,,IDF,France,,fr,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Parc du Héron,50.63431575,3.14839573989948,"Parc du Héron, 59491 Villeneuve-d'Ascq, France",Parc du Héron,,,59491,,Saint-Sauveur,Villeneuve-d'Ascq,Nord,Hauts-de-France,,HDF,France,,fr,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Parc Urbain d'EuraTechnologies,48.967386,2.288769,"Parc Urbain, 95210 Saint-Gratien, France",,,Parc Urbain,95210,Saint-Gratien,,Saint-Gratien,Val-d'Oise,Île-De-France,,IDF,France,,fr,0,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Le Prieuré de Loos,50.602032,3.03882,"Le Sémaphore, 59120 Loos, France",Le Sémaphore,,,59120,Loos,,Loos,Nord,Hauts-de-France,,HDF,France,,fr,0,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Le Théâtre du Nord,50.6804416,3.136982280319149,"Le Théâtre, 59 Rue Jean Jaurès, 59290 Wasquehal, France",Le Théâtre,59,Rue Jean Jaurès,59290,,Le Capreau,Wasquehal,Nord,Hauts-de-France,,HDF,France,,fr,0.5,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Le Palais de Justice,48.8035602,2.1319704,"Le Palais de Justice, 2 Rue Georges Clemenceau, 78000 Versailles, France",Le Palais de Justice,2,Rue Georges Clemenceau,78000,,Notre-Dame,Versailles,Yvelines,Île-de-France,,IDF,France,,fr,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Université Lille 1,50.632166,3.046115,"Université Catholique, 59000 Lille, France",Université Catholique,,,59000,Lille,,Lille,Nord,Hauts-de-France,,HDF,France,,fr,0.567,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
